user_id,item_id
45334496,292623962
114571520,320874652
11759070,88640862
51110140,278077761
65180718,35702724
133747292,180556258
136009539,88952297
27802109,249656709
21128922,244857111
45334496,112400657
49537083,145535535
58547772,1149627
27625670,38255795
27802109,248472943
117848652,140860200
27226408,194203743
37638002,111338479
18176035,41579320
140619032,176498189
41283289,291101455
33659401,164320667
62561606,95806098
119163438,312213454
45649043,62969585
136154031,274780347
126605235,266857849
20170290,233392050
33659401,120809181
140338604,83615715
33236965,132628843
118343610,195140715
129162123,233370248
17980234,172420461
45649043,92123803
49233456,263043027
62561606,138348629
34019866,20800864
100781992,150273694
14073732,239991623
3279691,152216259
33659401,191216507
102466261,77672457
138442240,38063851
39416999,258606943
127720263,128193839
36219062,322277888
28701587,339822694
132764240,323206027
62561606,35299563
21482757,179220975
62561606,375416896
106594637,144472333
140948903,16929612
129162123,8107604
141239963,387953687
100781992,363744035
51859808,356593066
3279691,90117665
65180718,327691458
137318196,216372560
11244543,358655474
49537083,47076508
27625670,70242160
14735116,6395131
63971108,361432647
26882464,15460711
23567476,57986424
47308508,67741510
127428207,177230750
21619785,345504016
53773250,164393263
20043933,256941338
129162123,181098520
19170635,348315536
129162123,45305082
40528453,319719400
51859808,30706849
3279691,209506719
56871972,142876371
56683017,370137726
118710771,124599303
64792062,31711538
33659401,259161773
51859808,55572825
136592694,170120782
132764240,301315473
11244543,233292190
51051799,213201740
50325088,113033221
118694847,183026964
36381377,45524496
51341836,123807847
132502691,147699590
54004679,168524307
3279691,300906087
117209225,373682094
61776800,48298562
60648515,319392639
41632219,334631668
27880085,125929317
44110985,248339103
33659401,287863463
123584195,135212779
100226515,326454793
32352136,56241045
48449895,259269741
2348716,144156222
122181623,94230570
60910328,190195442
140619032,247483127
17219776,128702084
17980234,320106795
5538350,371523534
140943878,178512610
50805790,178361391
48342096,239290339
114591917,302256354
17939047,306263436
139332508,140724759
35482754,399454553
132424760,69977335
43121491,297104546
102030700,39374891
18055459,341707224
103884109,178341960
133747292,169300484
105425264,209873828
128066361,312946168
14202153,311780454
47671268,49516306
118129143,400285077
106315589,124850778
20170290,305453342
33659401,142963541
23567476,73425600
18055459,324390788
39970946,215008978
49060518,367257136
3279691,126749352
15120760,176616159
58650579,79626687
25966114,280643516
128912448,276561073
22018449,285163048
3279691,155530098
33236965,257815045
51110140,4182866
116523407,360817002
51110140,154023767
3279691,162442705
3279691,73157209
120857764,338709764
3279691,403361828
116941445,99604931
105307832,196921537
120174640,9820891
19523042,192163727
17361637,383011208
105425264,112053808
40084687,6519498
119271726,21073896
41283289,106015853
129035652,304346696
30919120,264753382
11244543,239392671
54004679,356107664
118129143,265202308
129719412,240482089
137882256,45334865
25286173,224420105
47913800,195065436
140619032,182054786
112721758,305923855
129035652,384521343
36548990,339033281
110115430,324276166
51859808,8696896
50161816,111604855
112386151,338337084
61754675,374911922
13709817,299941043
50068951,260477189
112703470,232156564
115761083,34887409
45245987,144559157
44110985,369565869
131093339,391884997
45245987,59742187
3320605,336682186
36381377,178141207
11312703,358037907
54345251,315514149
51859808,125116081
115335440,342965235
41011798,57819382
47380556,69282199
13749945,392339541
113981156,396383018
35817767,23186758
137025147,391264839
131311637,229840270
27625670,238149970
119385372,90520270
51549796,400680346
132764240,110753746
30480882,342372325
11638095,30208392
115512791,254759190
28701587,77002573
3279691,84657007
127720263,287329236
43231033,393492633
102831484,134674087
45245987,2308943
21902688,102266772
17987977,370200427
136154031,240907764
102436417,299356813
18197581,229076132
24360304,329720821
64477035,13761342
56683017,168764958
58053993,222110541
31351747,121740894
129335460,275302594
49756956,301594199
140619032,46807732
49756956,146311811
25506922,287045289
131116778,65268210
23072224,173183304
117209225,37114448
123746669,2974361
18176035,230148860
45245987,80194739
36381377,132125643
64792062,304092973
60910328,268415218
51110140,113425857
27880085,17838188
31351747,85328291
136124871,121278209
132130676,113684388
112023073,125554048
108049880,327236626
53687639,275588059
112968943,354075910
62321270,58259674
127643976,54187036
111314602,6963167
131116778,220641293
110634142,356238260
57977424,136947889
40528453,24106739
111435559,204060732
32352136,174598305
63386516,6611434
122744693,372138834
116550278,355485258
127428207,13451690
117909027,391429732
114005123,384715854
40406632,220220470
58547772,344917506
125826552,276636161
130279610,284240987
454872,47005484
137255028,221083307
45542840,382441689
41262598,271040734
123265349,202665859
42354574,394767028
46785560,102724603
13678830,193005655
65156859,384533905
23511934,82597852
38347841,93624794
131739593,150058682
43121491,77000666
28140683,341611541
49139898,88270535
115073423,198101648
103823974,37910916
27968675,49315020
118707318,233151564
102119395,113255702
52403660,383270745
57942003,3984892
26633944,111307761
110239930,369782266
3279691,183553447
103670710,41887406
34019866,252080609
24455710,91998697
132895100,256197370
2922958,129590242
51110140,391421279
38081264,120688530
129719412,137866200
55523732,96856647
129775149,220031470
25413682,266100403
57261768,354297876
127276245,297882199
136628364,28827116
111348988,60580689
11244543,385729946
47241065,320693197
18980956,256289827
49060518,150745281
105001355,361687459
28254671,21519397
117689099,124135744
36219062,138212702
13401687,171532520
18749959,320339294
111345634,299050468
132764240,305077427
35415470,316366152
47234648,61837729
102115747,372271027
126376929,120646948
120174640,377216637
6232766,141685709
14202153,57514061
6232766,303887805
13401687,104082627
122933600,354923170
4993391,39690370
5193719,14024370
12612606,377315497
56993964,305742819
132052745,278742050
120319045,391597872
43026460,22630567
25966114,139425971
119643342,328344982
28883723,260226898
35817767,197690305
137025147,231301770
139057666,156317172
136622436,295672224
133629062,73226015
21902688,282620080
108170081,282182094
124659413,397833159
62561606,118722616
11999064,201679049
138865057,265903997
21999564,54254587
58053993,59286601
122181623,163083719
45873623,306600414
13785684,52661966
131116778,207935373
24311764,111497938
141534689,28018125
29518607,348058523
640008,168771929
64259376,130130307
115307135,92365997
28180583,106812294
56188977,110247316
104528944,307170873
55611377,30513829
36362795,347943745
15180259,271947042
45245987,111356020
129491253,333777354
138372165,27023767
52869521,387959153
25068286,222390714
18382879,349204595
22268631,258948276
129970293,219884978
101640658,158311438
53370032,143550162
61902875,184120970
125779277,183453713
124672580,90774764
41976772,21520516
123941984,365978782
140619032,318256010
20752626,156859285
127168527,363510106
126718359,63514988
42345877,404337265
50780812,32807586
23666668,12102374
37447784,307638113
61902875,206421654
100572118,343505443
130188650,269355946
117848652,157656889
126389844,212131673
110507614,257891992
16506346,219597922
60910328,400335089
140299709,214020661
43679933,94926640
52867640,38040932
108556142,69655799
18055459,145651397
34539613,149069881
120306985,75693482
39301994,243270225
118351614,321864033
33659401,138144830
106434227,255869409
50325088,180502553
42345877,52952725
52867640,108536167
48986172,396052447
32763985,141868698
13795569,3285422
43231033,221827894
22505112,117030391
64019348,54834297
65222739,426364
46971722,274383145
11312703,206885229
122040080,6847603
32352136,371999146
45649043,360118466
42873856,25790243
45245987,197161727
105813059,189953080
105718427,198147769
46723649,25954665
118129143,291982782
47585504,342219507
62810138,33607709
39416999,343439897
32740786,318515601
113512469,257217482
35932244,281755086
140948903,214309442
17931409,156434933
57245760,118468606
108034286,308288406
50068951,21565288
120174640,300593492
125584802,31906505
129335403,185579171
138961180,98603220
37046048,13954642
3279691,170611777
110801380,355146615
22805449,82201230
104622901,93936600
140483078,99558990
62380151,9376150
102229108,277734804
11244543,280215543
110948224,389184347
13416654,375448008
47308166,387353596
57380691,339750428
122221364,20123667
129438870,392687078
15775396,121306070
43877747,11369913
58650579,328216047
35817767,200691599
138038328,352114232
35817767,43358603
25737478,353450244
129574989,152962759
101640658,277567456
34539613,391421279
59874489,330688937
30966958,178396709
127768770,226609415
125034299,324622803
28178051,249403460
109381076,373903413
21079914,314035200
113853212,323390721
26149627,337107654
45542840,259559168
34517089,157121433
123869753,398948136
51020539,29756104
62879735,384038335
62561606,93615461
126898614,400512482
129138207,337644015
133629062,97796295
12578052,147523503
31485010,282731010
129913464,175231457
118404042,119073682
64243962,214620738
107276237,209635245
125528876,230764298
27625670,46344213
53717495,14164007
61211120,99754610
32119657,377878926
13401687,353763557
35625449,336365596
56508471,31914338
131833721,186572853
20170404,185731592
138047652,4483263
142094433,348630740
118107588,400517071
140616629,57437447
102466261,45097965
128130132,322058571
58010910,197157006
128441868,123705616
3279691,151694076
57245760,289465677
118314669,117854639
5715473,193195711
18851179,67076508
114412982,373389502
226017,229617184
49537083,265907703
57245760,5571068
40201228,204634836
640008,58592070
14458587,93974956
32352136,364605338
108798644,367787535
45895559,198823079
52826819,265879503
114885602,316840401
40192975,136461537
27880085,271424416
58210263,57241247
141374267,388737699
121055447,14314050
37100390,174651776
139604638,356330316
21350082,64552762
111123358,387151164
34919803,284501334
136250877,6508356
28535840,148915423
100572118,385700165
39457307,72979979
110294650,292286577
63971108,242680126
58547772,54384346
131523230,287206242
21737559,380191317
114885602,271254567
40496944,257542404
122181623,44532262
106434227,32336000
128441868,276316706
108170081,324477898
50325088,152913686
31351747,61708876
18055459,139053608
61754675,8579216
100996483,262430828
131116778,262875669
30411033,34328904
120439555,352361767
54817646,224377559
28180583,163515330
100572118,312702922
100468048,210369469
6059291,320746199
62189282,280535470
6135455,228504028
3279691,93274691
45245987,288104378
129035652,112984961
47671268,245152255
39970946,107048538
122943143,17050674
54343142,117240477
15775339,50015543
57245760,197580515
122317958,108601163
111852751,25796154
130188650,19490602
11244543,290212267
47424857,394688297
31351747,347269788
119016570,166490311
115198199,282957590
47212541,399829478
140819924,91960346
100695202,294238495
3279691,79259910
13785684,82683892
64377777,362441436
24809533,341114188
124672580,146825230
28049015,32535140
18035062,167973688
127428207,124051476
124973975,125369749
139972423,355615010
136154031,123749896
44494127,66875804
45649043,14193987
31351747,12294010
118129143,158507496
3279691,68860354
45245987,247527316
126047058,172320465
3279691,187884790
130720655,231162591
58156776,53604708
26190472,270623419
64377777,291385196
3279691,14822579
132626507,299440985
50783368,303321448
33659401,320206461
6059291,328235871
64551147,373182627
121478510,384274021
120636580,254519987
17842159,301635867
117631619,250720385
119663397,284585584
27226408,366091478
26190472,326848521
16211815,100991306
39416999,373084872
15775339,385983267
55653785,28064939
51859808,86324614
11344200,254748610
108648119,378039184
11244543,242537420
62390663,121427217
128912448,359517834
29713580,320370784
42295282,84806089
42295282,191174380
108648119,97064041
55842521,332675812
42345877,351385942
59698002,56815041
62294198,198641355
31663549,358084230
13872483,400314503
3279691,42531408
138589540,170742994
3590671,134672504
102769936,39771482
134314587,310445741
29633312,308286880
33209353,403257974
51859808,195198907
1840942,7208610
15319909,345503996
131311637,111580604
105934205,275804469
126420132,101183441
25619476,191917795
22652835,198130784
52913276,155857132
125463827,63320101
42295282,93532495
142096371,324685893
100442521,63883481
45629939,288966308
102831484,342937973
25737478,380202209
60710861,46243040
14735116,308287880
25966114,182954957
6357161,372332367
29029112,385366498
49860627,321678683
46844282,337475654
62780396,23585528
123774176,344665950
29853689,340869480
21717333,269584561
29141072,139533689
47424857,86580932
1840942,309490040
115073423,7065212
119269023,180018971
11999064,260668943
25090435,404359534
36126962,342980756
49669986,176474194
21717333,257735994
35817767,342766612
64052360,142510327
14307216,37329692
454872,73727591
41762899,92319425
35817767,268785486
119486616,229644759
101991172,262167876
50216353,270882795
26882464,87165372
132666293,368338265
114357452,203626886
129775149,299814222
13401687,334858376
11999064,325888873
64279050,184125669
22652835,139606806
49889355,125089236
109935939,177796605
14202153,24528439
100639219,55864301
105618998,230724445
109750608,242264116
16694491,263393585
65156859,307491533
131915414,157745376
102119395,96614363
134236257,143098144
58034784,2604909
37121252,216821505
106932875,15075795
55988786,299344097
12952941,377404755
102506116,187905060
115475948,194698763
14202153,337455716
126102987,250570157
123205622,359903835
103214311,249965919
59252367,115212758
22694274,55041652
18749959,311970686
30966958,38528864
139057666,45842907
18176035,286368223
51647720,205892472
3279691,206986586
3279691,250859626
3279691,149484975
49233456,305206823
14735116,75708748
136275558,204682597
120174640,191947111
104378635,39890657
51486058,237266274
47762627,83161663
22359420,33003897
32920426,62131365
100275910,133219407
136509498,26980946
138003363,372762867
34404991,315881634
101359807,266049335
127276245,327908585
57977424,164319897
37393370,190166651
32920426,2903441
10587282,11434344
64318839,413340
3277525,84738453
47171936,193884474
58864224,284265308
141826607,1665069
137365881,154199567
50805790,175261298
56804403,83098075
37165541,84981878
134576592,394815530
135792408,47366843
42345877,365044650
54594113,10464201
105611882,302800077
44763131,29502703
49235565,157984068
120636580,111829384
138404221,25069625
134979525,132681991
132506225,11933979
32920426,150572904
112671106,152892401
125837130,176210541
120174640,266885650
34938442,106499901
27350966,61999996
